persentase_penduduk_miskin,garis_kemiskinan,persentase_sanitasi_layak,jumlah_tenaga_gizi,Aktual,Prediksi,Residual
234,843893,99.46,50,3377,4972.428395021648,-1595.4283950216477
701,392705,100.0,31,14671,9229.661282467534,5441.338717532466
238,804984,9909.0,50,3283,3992.4494909812433,-709.4494909812433
77,342094,9972.0,31,14347,6687.356721139971,7659.643278860029
87,403663,8669.0,25,1438,4285.521615079363,-2847.521615079363
1036,371699,832.0,50,11680,7207.505111453359,4472.494888546641
425,545675,100.0,84,6614,6542.117471981722,71.88252801827821
511,511375,849.0,16,3708,2552.583247354499,1155.4167526455012
802,594118,9548.0,25,806,2834.2054035594056,-2028.2054035594056
1082,547912,98.11,43,2449,4451.445897426646,-2002.4458974266463
667,520742,152.0,20,2069,2131.0510389610386,-62.05103896103856
68,398884,100.0,85,21018,18950.86480026455,2067.1351997354504
401,481732,88.0,25,7436,6521.63386893662,914.3661310633797
1003,360691,100.0,69,2088,18597.1386972102,-16509.1386972102
439,484804,80.0,19,3269,3639.956464886964,-370.9564648869641
691,367403,755.0,88,29581,19316.86757756133,10264.13242243867
110,475046,96.24,87,8910,8498.279288119285,411.7207118807146
253,744771,9926.0,48,3637,4046.8824486532,-409.88244865319984
932,411174,8273.0,33,519,3901.257723063974,-3382.257723063974
938,341307,74.0,34,9322,8084.4660040885055,1237.5339959114945
1003,467248,9749.0,23,2411,2894.884266835019,-483.88426683501893
577,513343,74.0,48,3757,5827.27801539202,-2070.2780153920203
812,339607,90.0,53,2476,8985.246649470902,-6509.246649470902
1006,445184,77.0,25,4642,6113.9027010582,-1471.9027010582004
998,310437,311.0,46,13523,10473.963002645507,3049.036997354493
653,699861,72.93,46,1588,5621.669199975954,-4033.669199975954
1082,393956,9109.0,34,9304,6856.722816359564,2447.2771836404363
1118,387631,9289.0,50,7768,6197.865013329265,1570.134986670735
1153,537497,2966.0,34,3595,5131.7597037036985,-1536.7597037036985
511,549450,8305.0,26,3036,4937.500515993264,-1901.5005159932643
619,455636,96.79,81,21362,12110.762728114487,9251.237271885513
535,522281,8091.0,14,3161,2158.349986892738,1002.6500131072621
797,389676,8551.0,67,3303,18550.037104016363,-15247.037104016363
